Frequency (Hz),Level (dB)
43.066406,-55.82399
86.132813,-58.830952
129.199219,-58.256081
172.265625,-61.931721
215.332031,-61.427128
258.398438,-62.927723
301.464844,-63.843487
344.53125,-64.268379
387.597656,-65.992355
430.664063,-67.326004
473.730469,-69.32444
516.796875,-71.921906
559.863281,-74.969269
602.929688,-77.265099
645.996094,-77.414063
689.0625,-77.500854
732.128906,-77.354698
775.195313,-76.742638
818.261719,-76.585381
861.328125,-76.885956
904.394531,-78.847076
947.460938,-78.37011
990.527344,-78.685577
1033.59375,-78.394859
1076.660156,-78.343628
1119.726563,-78.83812
1162.792969,-78.082748
1205.859375,-78.020584
1248.925781,-79.200882
1291.992188,-79.748825
1335.058594,-80.538078
1378.125,-81.515884
1421.191406,-82.32959
1464.257813,-84.613365
1507.324219,-85.768692
1550.390625,-86.162483
1593.457031,-86.951782
1636.523438,-86.818848
1679.589844,-87.83638
1722.65625,-89.333458
1765.722656,-89.926407
1808.789063,-90.165955
1851.855469,-90.720901
1894.921875,-91.031853
1937.988281,-91.793724
1981.054688,-91.725098
2024.121094,-91.851387
2067.1875,-91.614639
2110.253906,-90.998497
2153.320313,-90.434448
2196.386719,-90.116463
2239.453125,-90.844818
2282.519531,-92.100182
2325.585938,-93.070007
2368.652344,-93.265213
2411.71875,-92.221001
2454.785156,-92.011177
2497.851563,-92.139046
2540.917969,-93.254021
2583.984375,-93.994164
2627.050781,-93.26899
2670.117188,-93.164528
2713.183594,-93.980438
2756.25,-95.229851
2799.316406,-95.301262
2842.382813,-95.742302
2885.449219,-95.591042
2928.515625,-95.829224
2971.582031,-95.838951
3014.648438,-95.970772
3057.714844,-96.260475
3100.78125,-96.803207
3143.847656,-96.952988
3186.914063,-97.262871
3229.980469,-96.517433
3273.046875,-95.776482
3316.113281,-94.742462
3359.179688,-90.64872
3402.246094,-91.481735
3445.3125,-95.181358
3488.378906,-97.381447
3531.445313,-97.368889
3574.511719,-93.99736
3617.578125,-94.536331
3660.644531,-98.402336
3703.710938,-98.9645
3746.777344,-98.780258
3789.84375,-98.610748
3832.910156,-97.565933
3875.976563,-94.808662
3919.042969,-95.442833
3962.109375,-95.556068
4005.175781,-94.541183
4048.242188,-95.417603
4091.308594,-95.649605
4134.375,-95.380112
4177.441406,-96.409889
4220.507813,-96.886559
4263.574219,-97.626083
4306.640625,-96.288979
4349.707031,-95.101524
4392.773438,-94.933632
4435.839844,-95.387794
4478.90625,-95.851639
4521.972656,-95.45549
4565.039063,-95.873772
4608.105469,-97.189316
4651.171875,-98.008301
4694.238281,-98.486786
4737.304688,-98.50885
4780.371094,-98.348465
4823.4375,-96.465858
4866.503906,-96.545044
4909.570313,-98.076408
4952.636719,-99.24408
4995.703125,-97.794769
5038.769531,-96.797028
5081.835938,-96.174927
5124.902344,-97.727676
5167.96875,-100.663979
5211.035156,-100.024216
5254.101563,-97.68026
5297.167969,-95.336021
5340.234375,-97.167976
5383.300781,-100.63633
5426.367188,-99.020554
5469.433594,-97.02327
5512.5,-96.303169
5555.566406,-97.313507
5598.632813,-99.204491
5641.699219,-100.289215
5684.765625,-99.728638
5727.832031,-97.798363
5770.898438,-96.766342
5813.964844,-96.998444
5857.03125,-97.592667
5900.097656,-98.031906
5943.164063,-97.857056
5986.230469,-96.96196
6029.296875,-97.477371
6072.363281,-98.174072
6115.429688,-98.513901
6158.496094,-99.982712
6201.5625,-101.512794
6244.628906,-101.400208
6287.695313,-100.889427
6330.761719,-101.154961
6373.828125,-101.080185
6416.894531,-100.427475
6459.960938,-100.526398
6503.027344,-100.784569
6546.09375,-100.584213
6589.160156,-100.787384
6632.226563,-100.911682
6675.292969,-100.55368
6718.359375,-100.095016
6761.425781,-99.757156
6804.492188,-98.723602
6847.558594,-98.107071
6890.625,-98.7808
6933.691406,-99.381508
6976.757813,-99.754349
7019.824219,-99.09343
7062.890625,-98.108856
7105.957031,-97.195053
7149.023438,-96.174438
7192.089844,-96.469643
7235.15625,-97.416321
7278.222656,-97.639397
7321.289063,-98.258232
7364.355469,-99.278297
7407.421875,-100.432816
7450.488281,-99.845268
7493.554688,-98.417694
7536.621094,-98.962059
7579.6875,-98.054352
7622.753906,-97.614105
7665.820313,-97.396072
7708.886719,-97.384918
7751.953125,-97.155319
7795.019531,-97.715912
7838.085938,-98.633102
7881.152344,-98.473175
7924.21875,-99.378601
7967.285156,-99.092979
8010.351563,-97.532677
8053.417969,-94.617844
8096.484375,-94.202011
8139.550781,-97.646553
8182.617188,-99.922081
8225.683594,-100.234047
8268.75,-98.546715
8311.816406,-98.919937
8354.882813,-99.333916
8397.949219,-97.881447
8441.015625,-97.097748
8484.082031,-98.374527
8527.148438,-95.121834
8570.214844,-92.955475
8613.28125,-94.967072
8656.347656,-96.696396
8699.414063,-98.519119
8742.480469,-101.54641
8785.546875,-101.752769
8828.613281,-101.163315
8871.679688,-100.998123
8914.746094,-101.434814
8957.8125,-100.424034
9000.878906,-99.656403
9043.945313,-101.488968
9087.011719,-101.110588
9130.078125,-100.27536
9173.144531,-99.428017
9216.210938,-99.071121
9259.277344,-99.242386
9302.34375,-100.0597
9345.410156,-101.124786
9388.476563,-100.915146
9431.542969,-100.38237
9474.609375,-100.873238
9517.675781,-101.832993
9560.742188,-101.692596
9603.808594,-99.488106
9646.875,-98.867134
9689.941406,-99.283714
9733.007813,-99.301018
9776.074219,-101.004044
9819.140625,-102.288132
9862.207031,-102.099953
9905.273438,-102.394524
9948.339844,-102.755219
9991.40625,-103.360252
10034.47266,-102.750191
10077.53906,-102.212166
10120.60547,-101.00029
10163.67188,-99.63073
10206.73828,-99.003418
10249.80469,-99.51442
10292.87109,-100.516884
10335.9375,-101.546577
10379.00391,-102.444496
10422.07031,-102.431587
10465.13672,-102.260841
10508.20313,-102.264832
10551.26953,-101.679596
10594.33594,-101.934433
10637.40234,-102.501869
10680.46875,-102.191635
10723.53516,-102.608292
10766.60156,-102.829628
10809.66797,-102.890038
10852.73438,-102.348495
10895.80078,-101.355469
10938.86719,-100.686287
10981.93359,-99.907364
11025,-99.587685
11068.06641,-100.195892
11111.13281,-100.561035
11154.19922,-100.610764
11197.26563,-100.051155
11240.33203,-100.483719
11283.39844,-101.333519
11326.46484,-101.204559
11369.53125,-101.707733
11412.59766,-102.094696
11455.66406,-102.803719
11498.73047,-102.986008
11541.79688,-103.144241
11584.86328,-103.179146
11627.92969,-102.454376
11670.99609,-101.661552
11714.0625,-100.827637
11757.12891,-100.105133
11800.19531,-100.741577
11843.26172,-101.163925
11886.32813,-99.773567
11929.39453,-97.927338
11972.46094,-98.239143
12015.52734,-98.814674
12058.59375,-100.203438
12101.66016,-101.465645
12144.72656,-101.973824
12187.79297,-101.281548
12230.85938,-99.18927
12273.92578,-98.598816
12316.99219,-98.103783
12360.05859,-96.23098
12403.125,-94.910095
12446.19141,-93.397644
12489.25781,-93.136467
12532.32422,-94.114563
12575.39063,-95.52301
12618.45703,-95.540268
12661.52344,-93.579254
12704.58984,-92.649094
12747.65625,-93.427666
12790.72266,-93.856873
12833.78906,-93.385391
12876.85547,-91.153908
12919.92188,-90.406654
12962.98828,-92.030701
13006.05469,-93.884987
13049.12109,-97.363075
13092.1875,-98.11544
13135.25391,-96.990807
13178.32031,-96.64666
13221.38672,-95.945602
13264.45313,-97.073883
13307.51953,-101.070244
13350.58594,-102.148407
13393.65234,-98.136917
13436.71875,-95.471474
13479.78516,-95.689156
13522.85156,-93.287697
13565.91797,-90.361549
13608.98438,-88.613266
13652.05078,-88.201317
13695.11719,-87.860649
13738.18359,-87.381706
13781.25,-87.634323
13824.31641,-87.70446
13867.38281,-87.299713
13910.44922,-88.382805
13953.51563,-89.483948
13996.58203,-89.616814
14039.64844,-91.11644
14082.71484,-93.057014
14125.78125,-94.133507
14168.84766,-95.52243
14211.91406,-97.728973
14254.98047,-97.899956
14298.04688,-97.475143
14341.11328,-98.77047
14384.17969,-99.407013
14427.24609,-98.49192
14470.3125,-98.381248
14513.37891,-97.744827
14556.44531,-96.554703
14599.51172,-97.096352
14642.57813,-97.734772
14685.64453,-97.333199
14728.71094,-97.711388
14771.77734,-97.414833
14814.84375,-95.99794
14857.91016,-97.580238
14900.97656,-100.204315
14944.04297,-100.141037
14987.10938,-96.95314
15030.17578,-95.14492
15073.24219,-96.734772
15116.30859,-95.657158
15159.375,-94.943359
15202.44141,-94.493805
15245.50781,-92.38826
15288.57422,-91.634483
15331.64063,-92.250237
15374.70703,-92.553482
15417.77344,-94.790413
15460.83984,-98.952866
15503.90625,-101.982559
15546.97266,-102.064766
15590.03906,-100.631317
15633.10547,-99.92231
15676.17188,-99.738312
15719.23828,-100.489929
15762.30469,-100.245811
15805.37109,-99.590828
15848.4375,-101.047615
15891.50391,-101.471558
15934.57031,-101.467056
15977.63672,-102.138199
16020.70313,-101.962982
16063.76953,-100.973022
16106.83594,-101.501778
16149.90234,-103.089958
16192.96875,-104.017654
16236.03516,-104.238182
16279.10156,-103.876289
16322.16797,-103.140114
16365.23438,-103.363792
16408.30078,-102.670197
16451.36719,-101.268951
16494.43359,-100.603622
16537.5,-99.570511
16580.56641,-99.513306
16623.63281,-99.959167
16666.69922,-100.078346
16709.76563,-100.608429
16752.83203,-101.343529
16795.89844,-102.169487
16838.96484,-102.75174
16882.03125,-102.790039
16925.09766,-102.89975
16968.16406,-102.226814
17011.23047,-100.215378
17054.29688,-98.845039
17097.36328,-97.831902
17140.42969,-96.23877
17183.49609,-95.79097
17226.5625,-96.442062
17269.62891,-94.992912
17312.69531,-93.326378
17355.76172,-92.40654
17398.82813,-91.681252
17441.89453,-90.912766
17484.96094,-90.493011
17528.02734,-91.129211
17571.09375,-91.575943
17614.16016,-92.270775
17657.22656,-95.09127
17700.29297,-97.949142
17743.35938,-99.938225
17786.42578,-103.399673
17829.49219,-100.496376
17872.55859,-99.448601
17915.625,-100.576546
17958.69141,-101.70752
18001.75781,-100.498276
18044.82422,-100.149605
18087.89063,-102.222626
18130.95703,-101.911003
18174.02344,-102.194954
18217.08984,-103.605995
18260.15625,-100.823784
18303.22266,-99.856163
18346.28906,-100.897141
18389.35547,-98.938774
18432.42188,-99.000107
18475.48828,-99.220184
18518.55469,-98.753944
18561.62109,-99.88588
18604.6875,-101.203194
18647.75391,-102.034264
18690.82031,-101.872421
18733.88672,-101.776054
18776.95313,-101.039711
18820.01953,-100.188377
18863.08594,-100.062218
18906.15234,-99.338814
18949.21875,-100.143433
18992.28516,-101.834785
19035.35156,-102.711937
19078.41797,-101.828514
19121.48438,-100.703644
19164.55078,-99.813751
19207.61719,-99.821274
19250.68359,-100.099052
19293.75,-100.730156
19336.81641,-101.231857
19379.88281,-100.704544
19422.94922,-100.336288
19466.01563,-100.039581
19509.08203,-99.689713
19552.14844,-99.826462
19595.21484,-100.286217
19638.28125,-100.519081
19681.34766,-101.197075
19724.41406,-102.271988
19767.48047,-103.190422
19810.54688,-103.584343
19853.61328,-103.025864
19896.67969,-102.907654
19939.74609,-102.412582
19982.8125,-102.936272
20025.87891,-103.64727
20068.94531,-102.991936
20112.01172,-103.609276
20155.07813,-101.41098
20198.14453,-100.887955
20241.21094,-103.193726
20284.27734,-103.708298
20327.34375,-103.228592
20370.41016,-103.106728
20413.47656,-102.671547
20456.54297,-101.531593
20499.60938,-101.658783
20542.67578,-101.646698
20585.74219,-101.060349
20628.80859,-101.299934
20671.875,-103.468277
20714.94141,-103.413879
20758.00781,-103.709175
20801.07422,-105.508118
20844.14063,-104.231041
20887.20703,-105.680244
20930.27344,-107.087059
20973.33984,-105.283104
21016.40625,-106.877426
21059.47266,-108.554733
21102.53906,-109.107216
21145.60547,-110.865967
21188.67188,-113.92318
21231.73828,-115.371284
21274.80469,-117.855034
21317.87109,-120.663284
21360.9375,-123.251541
21404.00391,-126.482216
21447.07031,-130.404388
21490.13672,-132.900909
21533.20313,-133.973862
21576.26953,-135.162231
21619.33594,-135.3396
21662.40234,-135.525543
21705.46875,-135.579987
21748.53516,-135.577621
21791.60156,-135.589447
21834.66797,-135.595169
21877.73438,-135.597778
21920.80078,-135.603867
21963.86719,-135.605698
22006.93359,-135.605682
