Frequency (Hz),Level (dB)
43.066406,-12.572032
86.132813,-7.501737
129.199219,-13.109891
172.265625,-18.219826
215.332031,-23.181248
258.398438,-23.686193
301.464844,-25.743479
344.53125,-24.698406
387.597656,-27.470837
430.664063,-27.783779
473.730469,-26.858715
516.796875,-26.35634
559.863281,-21.947363
602.929688,-21.941061
645.996094,-21.461781
689.0625,-22.834949
732.128906,-25.138872
775.195313,-26.998182
818.261719,-28.322884
861.328125,-30.851086
904.394531,-31.49272
947.460938,-32.737263
990.527344,-32.19556
1033.59375,-31.058546
1076.660156,-28.742626
1119.726563,-28.674318
1162.792969,-26.488588
1205.859375,-29.755756
1248.925781,-34.126442
1291.992188,-37.016613
1335.058594,-38.387512
1378.125,-41.201149
1421.191406,-42.260063
1464.257813,-44.904694
1507.324219,-46.899479
1550.390625,-48.777355
1593.457031,-50.083321
1636.523438,-50.79092
1679.589844,-51.485924
1722.65625,-51.124779
1765.722656,-52.598236
1808.789063,-52.480862
1851.855469,-53.232189
1894.921875,-53.182575
1937.988281,-53.683186
1981.054688,-53.604118
2024.121094,-52.717884
2067.1875,-52.097023
2110.253906,-50.923233
2153.320313,-50.020302
2196.386719,-48.156822
2239.453125,-47.126308
2282.519531,-45.157635
2325.585938,-44.016781
2368.652344,-45.732586
2411.71875,-48.372639
2454.785156,-50.514515
2497.851563,-50.847481
2540.917969,-51.931042
2583.984375,-52.236935
2627.050781,-54.227039
2670.117188,-53.861855
2713.183594,-53.638908
2756.25,-54.351852
2799.316406,-52.699852
2842.382813,-52.524158
2885.449219,-52.095913
2928.515625,-50.387993
2971.582031,-48.309715
3014.648438,-48.929028
3057.714844,-50.79285
3100.78125,-54.368931
3143.847656,-58.631535
3186.914063,-60.656513
3229.980469,-61.247162
3273.046875,-62.103249
3316.113281,-62.058643
3359.179688,-62.497314
3402.246094,-62.424004
3445.3125,-62.080452
3488.378906,-62.726944
3531.445313,-63.421795
3574.511719,-64.292343
3617.578125,-64.336052
3660.644531,-64.039932
3703.710938,-62.602886
3746.777344,-61.685181
3789.84375,-60.401497
3832.910156,-58.690548
3875.976563,-55.729084
3919.042969,-54.511139
3962.109375,-52.357555
4005.175781,-53.025478
4048.242188,-54.588352
4091.308594,-57.216537
4134.375,-58.681355
4177.441406,-61.15358
4220.507813,-62.818352
4263.574219,-65.130226
4306.640625,-66.610619
4349.707031,-67.794395
4392.773438,-67.75695
4435.839844,-69.276878
4478.90625,-68.891701
4521.972656,-69.509697
4565.039063,-69.673798
4608.105469,-69.207108
4651.171875,-69.170067
4694.238281,-69.242676
4737.304688,-69.431122
4780.371094,-68.984917
4823.4375,-68.208633
4866.503906,-66.60537
4909.570313,-65.340111
4952.636719,-64.107956
4995.703125,-69.470772
5038.769531,-69.451958
5081.835938,-72.208649
5124.902344,-73.812393
5167.96875,-75.323792
5211.035156,-76.65966
5254.101563,-77.079353
5297.167969,-76.298569
5340.234375,-75.582985
5383.300781,-74.408287
5426.367188,-75.267822
5469.433594,-73.1576
5512.5,-72.771706
5555.566406,-70.977348
5598.632813,-71.116867
5641.699219,-70.444588
5684.765625,-69.819519
5727.832031,-67.170662
5770.898438,-63.9706
5813.964844,-61.727135
5857.03125,-59.184719
5900.097656,-58.13282
5943.164063,-58.261147
5986.230469,-58.498764
6029.296875,-59.693157
6072.363281,-59.954121
6115.429688,-61.702942
6158.496094,-63.439167
6201.5625,-64.12149
6244.628906,-65.818512
6287.695313,-68.744308
6330.761719,-71.239563
6373.828125,-72.795219
6416.894531,-73.77652
6459.960938,-74.59037
6503.027344,-74.917175
6546.09375,-76.541008
6589.160156,-77.730881
6632.226563,-78.065826
6675.292969,-77.14756
6718.359375,-76.626907
6761.425781,-74.604515
6804.492188,-73.934006
6847.558594,-74.934776
