Frequency (Hz),Level (dB)
43.066406,-11.426544
86.132813,-6.595113
129.199219,-11.731502
172.265625,-12.932707
215.332031,-16.771961
258.398438,-16.127747
301.464844,-16.477831
344.53125,-15.419322
387.597656,-23.232395
430.664063,-27.672918
473.730469,-33.767124
516.796875,-35.552517
559.863281,-39.793743
602.929688,-41.431179
645.996094,-40.711754
689.0625,-42.197098
732.128906,-43.235336
775.195313,-45.024075
818.261719,-45.162411
861.328125,-46.488762
904.394531,-45.080132
947.460938,-45.496128
990.527344,-44.842449
1033.59375,-45.858475
1076.660156,-45.516094
1119.726563,-45.062492
1162.792969,-42.652534
1205.859375,-38.997837
1248.925781,-37.393612
1291.992188,-39.629005
1335.058594,-40.486591
1378.125,-44.423557
1421.191406,-46.152554
1464.257813,-49.439518
1507.324219,-51.301262
1550.390625,-52.938217
1593.457031,-53.457729
1636.523438,-54.267303
1679.589844,-55.443356
1722.65625,-55.032257
1765.722656,-55.3297
1808.789063,-53.769001
1851.855469,-51.992226
1894.921875,-50.604263
1937.988281,-48.986198
1981.054688,-48.234955
2024.121094,-49.70232
2067.1875,-50.737736
2110.253906,-52.65723
2153.320313,-52.767338
2196.386719,-53.706577
2239.453125,-55.198261
2282.519531,-56.737305
2325.585938,-57.364578
2368.652344,-58.015121
2411.71875,-58.833008
2454.785156,-58.606468
2497.851563,-59.468605
2540.917969,-58.76733
2583.984375,-58.73917
2627.050781,-59.458828
2670.117188,-59.879116
2713.183594,-60.226563
2756.25,-59.362087
2799.316406,-58.291363
2842.382813,-57.336468
2885.449219,-54.735374
2928.515625,-53.846348
2971.582031,-54.433609
3014.648438,-57.632172
3057.714844,-60.902985
3100.78125,-62.510998
3143.847656,-62.811642
3186.914063,-62.368259
3229.980469,-62.038166
3273.046875,-61.734627
3316.113281,-60.447327
3359.179688,-59.616863
3402.246094,-58.86982
3445.3125,-58.872524
3488.378906,-58.365078
3531.445313,-57.840225
3574.511719,-58.981434
3617.578125,-58.525253
3660.644531,-59.416267
3703.710938,-61.228279
3746.777344,-63.07478
3789.84375,-64.758728
3832.910156,-65.746536
3875.976563,-66.568634
3919.042969,-66.364029
3962.109375,-66.309311
4005.175781,-65.191101
4048.242188,-66.872322
4091.308594,-66.912651
4134.375,-67.60894
4177.441406,-67.013336
4220.507813,-66.975952
4263.574219,-66.403961
4306.640625,-66.348671
4349.707031,-65.845482
4392.773438,-66.511124
4435.839844,-66.781349
4478.90625,-67.12677
4521.972656,-68.058517
4565.039063,-67.530121
4608.105469,-67.603683
4651.171875,-66.934769
4694.238281,-65.865158
4737.304688,-65.295418
4780.371094,-64.557243
4823.4375,-64.753838
4866.503906,-65.635513
4909.570313,-65.21167
4952.636719,-65.838631
4995.703125,-66.767464
5038.769531,-68.227257
5081.835938,-69.912354
5124.902344,-70.917
5167.96875,-71.292725
5211.035156,-71.74939
5254.101563,-70.586449
5297.167969,-70.834511
5340.234375,-70.428986
