Frequency (Hz),Level (dB)
43.066406,-91.801018
86.132813,-100.860138
129.199219,-72.141304
172.265625,-65.393158
215.332031,-70.653824
258.398438,-96.538551
301.464844,-75.201111
344.53125,-67.995239
387.597656,-72.656334
430.664063,-85.220146
473.730469,-60.657299
516.796875,-52.511143
559.863281,-56.463409
602.929688,-76.962463
645.996094,-55.829151
689.0625,-46.908432
732.128906,-50.238426
775.195313,-71.650711
818.261719,-70.337158
861.328125,-61.345211
904.394531,-64.188133
947.460938,-83.81498
990.527344,-80.893425
1033.59375,-71.452072
1076.660156,-73.703979
1119.726563,-89.66893
1162.792969,-87.550926
1205.859375,-77.045273
1248.925781,-78.250854
1291.992188,-90.102722
1335.058594,-77.470619
1378.125,-64.561958
1421.191406,-64.97673
1464.257813,-79.324692
1507.324219,-84.808479
1550.390625,-73.963631
1593.457031,-74.762421
1636.523438,-88.920334
1679.589844,-84.76973
1722.65625,-71.537354
1765.722656,-71.425262
1808.789063,-84.562279
1851.855469,-87.677597
1894.921875,-73.771858
1937.988281,-73.292183
1981.054688,-85.658592
2024.121094,-91.872086
2067.1875,-77.321518
2110.253906,-76.334579
2153.320313,-87.383537
2196.386719,-95.270897
2239.453125,-81.358421
2282.519531,-79.461319
2325.585938,-89.228004
2368.652344,-96.885681
2411.71875,-81.448166
2454.785156,-79.258858
2497.851563,-88.76783
2540.917969,-101.65007
2583.984375,-83.833771
2627.050781,-80.249565
2670.117188,-88.237946
2713.183594,-103.961945
2756.25,-87.87822
2799.316406,-83.976181
2842.382813,-91.450073
2885.449219,-104.266479
2928.515625,-89.641647
2971.582031,-86.726723
3014.648438,-94.820374
3057.714844,-105.716812
3100.78125,-89.922157
3143.847656,-85.11219
3186.914063,-91.066032
3229.980469,-108.306892
3273.046875,-93.050293
3316.113281,-86.913727
3359.179688,-91.662926
3402.246094,-107.657181
3445.3125,-96.378975
3488.378906,-91.282188
3531.445313,-96.025299
3574.511719,-109.553062
3617.578125,-95.611458
3660.644531,-89.820168
3703.710938,-94.075241
3746.777344,-108.986076
3789.84375,-97.794083
3832.910156,-89.67424
3875.976563,-92.381851
3919.042969,-108.129944
3962.109375,-99.599586
4005.175781,-91.292915
4048.242188,-93.295845
4091.308594,-107.557388
4134.375,-98.399101
4177.441406,-92.280914
4220.507813,-96.090645
4263.574219,-110.267235
4306.640625,-98.831665
4349.707031,-91.924789
4392.773438,-94.979683
4435.839844,-108.789635
4478.90625,-99.907379
4521.972656,-91.876289
4565.039063,-93.847763
4608.105469,-107.143044
4651.171875,-100.521179
4694.238281,-91.353882
4737.304688,-91.972946
4780.371094,-103.754883
4823.4375,-103.043182
4866.503906,-93.45433
4909.570313,-93.723724
4952.636719,-104.473526
4995.703125,-104.936073
5038.769531,-96.425735
5081.835938,-96.661179
5124.902344,-106.417107
5167.96875,-107.216949
5211.035156,-98.370293
5254.101563,-98.810539
5297.167969,-107.939003
5340.234375,-108.117897
5383.300781,-98.911331
5426.367188,-98.005966
5469.433594,-106.176857
5512.5,-105.865242
5555.566406,-97.364632
5598.632813,-97.41993
5641.699219,-105.895302
5684.765625,-108.221207
5727.832031,-99.388206
5770.898438,-98.674667
5813.964844,-106.039474
5857.03125,-111.229599
5900.097656,-101.870155
5943.164063,-99.482895
5986.230469,-104.999748
6029.296875,-111.466797
6072.363281,-102.134354
6115.429688,-100.223495
6158.496094,-105.545097
6201.5625,-114.41082
6244.628906,-104.854759
6287.695313,-101.256622
6330.761719,-106.332664
6373.828125,-112.810692
6416.894531,-104.332176
6459.960938,-100.728447
6503.027344,-105.141663
6546.09375,-113.175133
6589.160156,-104.22937
6632.226563,-100.828423
6675.292969,-104.386322
6718.359375,-113.563553
6761.425781,-104.529976
6804.492188,-100.533279
6847.558594,-104.03083
6890.625,-113.651588
6933.691406,-104.632118
6976.757813,-100.008507
7019.824219,-102.86824
7062.890625,-113.202629
7105.957031,-104.672386
7149.023438,-99.700645
7192.089844,-101.917259
7235.15625,-112.649223
7278.222656,-107.332146
7321.289063,-101.899338
7364.355469,-103.893112
7407.421875,-113.682419
7450.488281,-108.837929
7493.554688,-103.41394
7536.621094,-105.958138
7579.6875,-114.796379
7622.753906,-110.406113
7665.820313,-105.016121
7708.886719,-106.441612
7751.953125,-114.68457
7795.019531,-108.970139
7838.085938,-103.880455
7881.152344,-104.729126
7924.21875,-112.614433
7967.285156,-106.685699
8010.351563,-102.726433
8053.417969,-104.174339
8096.484375,-112.383766
8139.550781,-107.017624
8182.617188,-103.696457
8225.683594,-105.09713
8268.75,-112.484001
8311.816406,-111.493828
8354.882813,-106.964119
8397.949219,-107.987671
8441.015625,-113.972488
8484.082031,-112.669075
8527.148438,-106.310051
8570.214844,-106.024712
8613.28125,-112.568703
8656.347656,-113.273224
8699.414063,-105.826469
8742.480469,-105.059357
8785.546875,-111.689583
8828.613281,-113.340996
8871.679688,-107.707634
8914.746094,-107.356339
8957.8125,-113.313332
9000.878906,-113.873192
9043.945313,-108.312996
9087.011719,-108.360428
9130.078125,-113.763519
9173.144531,-114.857933
9216.210938,-108.939552
9259.277344,-106.820671
9302.34375,-110.848335
9345.410156,-116.685051
9388.476563,-109.306984
9431.542969,-105.831245
9474.609375,-109.421494
9517.675781,-115.308945
9560.742188,-109.034897
9603.808594,-106.442406
9646.875,-109.935715
9689.941406,-115.659439
9733.007813,-110.697899
9776.074219,-107.877197
9819.140625,-109.847176
9862.207031,-116.031723
9905.273438,-112.680328
9948.339844,-109.133453
9991.40625,-110.943771
10034.47266,-116.79763
10077.53906,-111.600609
10120.60547,-109.169098
10163.67188,-110.720192
10206.73828,-115.648964
10249.80469,-110.601509
10292.87109,-109.477005
10335.9375,-111.227875
10379.00391,-114.764603
10422.07031,-110.026627
10465.13672,-109.564293
10508.20313,-111.428741
10551.26953,-114.410454
10594.33594,-109.64872
10637.40234,-110.27459
10680.46875,-113.088326
10723.53516,-116.821388
10766.60156,-112.187866
10809.66797,-110.713776
10852.73438,-112.062065
10895.80078,-117.473785
10938.86719,-114.230087
10981.93359,-110.793159
11025,-110.980972
11068.06641,-116.276619
11111.13281,-113.243439
11154.19922,-109.280022
11197.26563,-110.532524
11240.33203,-116.445267
11283.39844,-113.802704
11326.46484,-109.822983
11369.53125,-111.53009
11412.59766,-117.820442
11455.66406,-115.652107
11498.73047,-111.714798
11541.79688,-113.394829
11584.86328,-118.672447
11627.92969,-116.870811
11670.99609,-113.444099
11714.0625,-113.99334
11757.12891,-118.464394
11800.19531,-117.857849
11843.26172,-113.497643
11886.32813,-111.658936
11929.39453,-115.917503
11972.46094,-116.566986
12015.52734,-112.866463
12058.59375,-111.173721
12101.66016,-115.216866
12144.72656,-115.75676
12187.79297,-113.755051
12230.85938,-112.796928
12273.92578,-115.749367
12316.99219,-117.759354
12360.05859,-114.920036
12403.125,-112.714088
12446.19141,-114.884041
12489.25781,-117.574028
12532.32422,-114.470734
12575.39063,-111.634117
12618.45703,-113.526413
12661.52344,-117.424141
12704.58984,-114.754433
12747.65625,-112.601364
12790.72266,-114.304924
12833.78906,-116.883141
12876.85547,-114.431
12919.92188,-114.562653
12962.98828,-116.438873
13006.05469,-115.382744
13049.12109,-113.071449
13092.1875,-114.280952
13135.25391,-116.191902
13178.32031,-117.352898
13221.38672,-114.437843
13264.45313,-114.334824
13307.51953,-115.247017
13350.58594,-118.131104
13393.65234,-116.523598
13436.71875,-114.663864
13479.78516,-115.927338
13522.85156,-118.345215
13565.91797,-115.973473
13608.98438,-113.86277
13652.05078,-115.692039
13695.11719,-119.235962
13738.18359,-116.824249
