Frequency (Hz),Level (dB)
43.066406,-36.730122
86.132813,-48.60965
129.199219,-42.337421
172.265625,-24.540766
215.332031,-12.275105
258.398438,-13.268167
301.464844,-29.015884
344.53125,-43.421345
387.597656,-38.485847
430.664063,-15.475273
473.730469,-11.614311
516.796875,-19.954967
559.863281,-42.362774
602.929688,-41.543392
645.996094,-22.350235
689.0625,-13.011428
732.128906,-16.026966
775.195313,-36.201374
818.261719,-41.982151
861.328125,-32.644581
904.394531,-15.908383
947.460938,-14.213098
990.527344,-25.272478
1033.59375,-40.756813
1076.660156,-40.501354
1119.726563,-18.802153
1162.792969,-11.96947
1205.859375,-17.060488
1248.925781,-36.869511
1291.992188,-39.014755
1335.058594,-29.959211
1378.125,-16.901217
1421.191406,-17.123306
1464.257813,-31.054384
1507.324219,-43.791309
1550.390625,-45.423149
1593.457031,-31.620792
1636.523438,-27.315678
1679.589844,-34.823776
1722.65625,-52.060482
1765.722656,-53.459435
1808.789063,-45.992062
1851.855469,-36.982006
1894.921875,-39.421772
1937.988281,-52.771271
1981.054688,-55.345501
2024.121094,-53.149887
2067.1875,-37.973217
2110.253906,-35.617371
2153.320313,-45.00853
2196.386719,-54.794777
2239.453125,-55.891346
2282.519531,-43.178268
2325.585938,-36.069302
2368.652344,-40.423187
2411.71875,-54.048145
2454.785156,-55.758007
2497.851563,-50.548721
2540.917969,-38.183594
2583.984375,-37.824615
2627.050781,-49.388741
2670.117188,-56.066917
2713.183594,-56.565575
2756.25,-42.761005
2799.316406,-37.622921
2842.382813,-43.859463
2885.449219,-55.387383
2928.515625,-56.388107
2971.582031,-48.798267
3014.648438,-38.776493
3057.714844,-40.249104
3100.78125,-53.007061
3143.847656,-57.504112
3186.914063,-56.283375
3229.980469,-41.82877
3273.046875,-38.747631
3316.113281,-47.050755
3359.179688,-57.287758
3402.246094,-58.479759
3445.3125,-47.408043
3488.378906,-39.493149
3531.445313,-42.94577
3574.511719,-57.221394
3617.578125,-59.814888
3660.644531,-56.167393
3703.710938,-43.125801
3746.777344,-41.950104
3789.84375,-52.182533
3832.910156,-59.767174
3875.976563,-60.64996
3919.042969,-49.093098
3962.109375,-43.382355
4005.175781,-48.688728
4048.242188,-60.660885
4091.308594,-61.519001
4134.375,-56.344658
4177.441406,-46.155884
4220.507813,-46.920902
4263.574219,-58.723923
4306.640625,-64.272339
4349.707031,-63.66785
4392.773438,-51.32822
4435.839844,-47.500301
4478.90625,-54.506321
4521.972656,-65.259056
4565.039063,-66.525932
4608.105469,-58.490494
4651.171875,-50.197578
4694.238281,-52.600792
4737.304688,-64.173973
4780.371094,-67.092644
4823.4375,-65.135872
4866.503906,-54.799583
4909.570313,-52.946236
4952.636719,-61.43169
4995.703125,-67.747925
5038.769531,-68.463051
5081.835938,-61.342308
5124.902344,-55.719898
5167.96875,-59.880791
5211.035156,-68.1576
5254.101563,-69.226593
5297.167969,-66.409172
5340.234375,-59.668945
5383.300781,-59.915291
5426.367188,-66.966766
5469.433594,-68.178268
5512.5,-67.057175
5555.566406,-61.19215
5598.632813,-58.183884
5641.699219,-63.375481
5684.765625,-66.960846
5727.832031,-67.198296
5770.898438,-62.7719
5813.964844,-56.428261
5857.03125,-58.59285
5900.097656,-65.377045
5943.164063,-67.029396
5986.230469,-65.504021
6029.296875,-57.229912
6072.363281,-55.466709
6115.429688,-62.180077
6158.496094,-66.432617
6201.5625,-66.842995
6244.628906,-60.219208
6287.695313,-54.604546
6330.761719,-58.213051
6373.828125,-65.919601
6416.894531,-67.553528
6459.960938,-64.483513
