Frequency (Hz),Level (dB)
43.066406,-57.002541
86.132813,-60.770126
129.199219,-58.373821
172.265625,-61.917465
215.332031,-60.698235
258.398438,-61.823086
301.464844,-64.337502
344.53125,-65.344345
387.597656,-65.465027
430.664063,-66.706779
473.730469,-68.943977
516.796875,-71.454185
559.863281,-74.288872
602.929688,-76.557129
645.996094,-76.964142
689.0625,-77.628059
732.128906,-78.360893
775.195313,-76.927193
818.261719,-72.132507
861.328125,-58.737514
904.394531,-41.289875
947.460938,-39.556759
990.527344,-50.713745
1033.59375,-69.197884
1076.660156,-75.306877
1119.726563,-75.646019
1162.792969,-76.419647
1205.859375,-76.547462
1248.925781,-77.165993
1291.992188,-78.206818
1335.058594,-78.608742
1378.125,-79.330582
1421.191406,-80.344078
1464.257813,-81.96669
1507.324219,-83.153847
1550.390625,-84.20961
1593.457031,-85.105301
1636.523438,-85.487495
1679.589844,-85.991837
1722.65625,-86.637794
1765.722656,-87.99173
1808.789063,-88.440422
1851.855469,-87.911415
1894.921875,-88.640236
1937.988281,-89.649841
1981.054688,-89.644279
2024.121094,-89.867142
2067.1875,-91.031921
2110.253906,-91.634842
2153.320313,-91.749069
2196.386719,-91.978333
2239.453125,-91.576271
2282.519531,-91.124176
2325.585938,-90.501396
2368.652344,-90.44812
2411.71875,-90.659882
2454.785156,-90.493828
2497.851563,-89.747009
2540.917969,-89.561638
2583.984375,-89.227959
2627.050781,-89.183571
2670.117188,-89.513107
2713.183594,-90.031685
2756.25,-89.784035
2799.316406,-89.399803
2842.382813,-90.350601
2885.449219,-90.651192
2928.515625,-90.642525
2971.582031,-90.764435
3014.648438,-91.185158
3057.714844,-91.636055
3100.78125,-91.60714
3143.847656,-91.612404
3186.914063,-91.929985
3229.980469,-92.190742
3273.046875,-91.896873
3316.113281,-91.578827
3359.179688,-91.613922
3402.246094,-91.624374
3445.3125,-91.903648
3488.378906,-92.883484
3531.445313,-94.059235
3574.511719,-93.51078
3617.578125,-94.438461
3660.644531,-94.840996
3703.710938,-95.910507
3746.777344,-96.640877
3789.84375,-95.505096
3832.910156,-94.117584
3875.976563,-92.77784
3919.042969,-91.605713
3962.109375,-90.561462
4005.175781,-90.01516
4048.242188,-90.491478
4091.308594,-91.182289
4134.375,-91.073662
4177.441406,-90.441849
4220.507813,-89.804733
4263.574219,-89.63797
4306.640625,-89.740753
4349.707031,-90.04805
4392.773438,-90.667694
4435.839844,-91.154221
4478.90625,-91.362923
4521.972656,-91.45137
4565.039063,-91.695824
4608.105469,-91.85318
4651.171875,-91.870461
4694.238281,-91.866814
4737.304688,-91.97438
4780.371094,-91.977264
4823.4375,-91.899918
4866.503906,-92.1427
4909.570313,-92.679573
4952.636719,-93.164085
4995.703125,-93.635231
5038.769531,-94.230835
5081.835938,-94.177521
5124.902344,-94.071098
5167.96875,-93.869438
5211.035156,-93.600754
5254.101563,-93.361961
5297.167969,-93.476738
5340.234375,-93.687355
5383.300781,-93.457535
5426.367188,-92.688255
5469.433594,-92.332001
5512.5,-92.713562
5555.566406,-93.72596
5598.632813,-93.928368
5641.699219,-93.588776
5684.765625,-93.683411
5727.832031,-93.849312
5770.898438,-94.466721
5813.964844,-94.891762
5857.03125,-95.367332
5900.097656,-96.28344
5943.164063,-97.125519
5986.230469,-97.311966
6029.296875,-97.542969
6072.363281,-98.074928
6115.429688,-98.411942
6158.496094,-98.466652
6201.5625,-98.484779
6244.628906,-97.583885
6287.695313,-97.425339
6330.761719,-97.351601
6373.828125,-97.450432
6416.894531,-98.254967
6459.960938,-99.091133
6503.027344,-99.459824
6546.09375,-98.844643
6589.160156,-99.064575
6632.226563,-99.728607
6675.292969,-99.330269
6718.359375,-97.802666
6761.425781,-96.022499
6804.492188,-95.197914
6847.558594,-94.176811
6890.625,-93.37075
6933.691406,-92.968491
6976.757813,-92.971825
7019.824219,-94.2024
7062.890625,-95.023956
7105.957031,-94.498474
7149.023438,-93.4925
7192.089844,-92.303116
7235.15625,-91.722542
7278.222656,-92.318527
7321.289063,-93.214279
7364.355469,-94.396866
7407.421875,-94.614494
7450.488281,-94.65567
7493.554688,-94.797852
7536.621094,-95.500137
7579.6875,-97.326408
7622.753906,-97.510574
7665.820313,-98.269646
7708.886719,-98.711494
7751.953125,-98.561935
7795.019531,-98.373665
7838.085938,-99.087532
7881.152344,-99.655571
7924.21875,-99.449402
7967.285156,-97.482155
8010.351563,-95.445564
8053.417969,-94.353004
8096.484375,-93.909393
8139.550781,-94.417694
8182.617188,-94.127541
8225.683594,-93.4543
8268.75,-92.639511
8311.816406,-91.822113
8354.882813,-91.615219
8397.949219,-91.23632
8441.015625,-91.268715
8484.082031,-91.48568
8527.148438,-91.150124
8570.214844,-90.695503
8613.28125,-90.002243
8656.347656,-89.949135
8699.414063,-90.867882
8742.480469,-92.28318
8785.546875,-94.189888
8828.613281,-94.092529
8871.679688,-93.546143
8914.746094,-93.317032
8957.8125,-93.474678
9000.878906,-94.640533
9043.945313,-95.979836
9087.011719,-97.081787
9130.078125,-96.095177
9173.144531,-94.142868
9216.210938,-92.965431
9259.277344,-92.61692
9302.34375,-92.286247
9345.410156,-91.700775
9388.476563,-91.261612
9431.542969,-91.11232
9474.609375,-91.217453
9517.675781,-91.115227
9560.742188,-90.788307
9603.808594,-91.336777
9646.875,-92.279488
9689.941406,-92.653015
9733.007813,-92.812065
9776.074219,-93.06353
9819.140625,-93.545914
9862.207031,-94.484795
9905.273438,-95.300919
9948.339844,-96.492546
9991.40625,-97.941551
10034.47266,-98.378548
10077.53906,-99.017189
10120.60547,-98.677353
10163.67188,-96.348976
10206.73828,-93.419792
10249.80469,-91.128304
10292.87109,-90.241333
10335.9375,-89.527374
10379.00391,-88.973251
10422.07031,-89.141525
10465.13672,-89.763184
10508.20313,-90.457497
10551.26953,-90.556587
10594.33594,-90.5382
10637.40234,-90.564247
10680.46875,-90.356796
10723.53516,-90.454384
10766.60156,-90.773468
10809.66797,-91.172928
10852.73438,-91.140785
10895.80078,-90.46817
10938.86719,-89.634377
10981.93359,-88.572823
11025,-87.90741
11068.06641,-87.879402
11111.13281,-88.058136
11154.19922,-88.305283
11197.26563,-88.326622
11240.33203,-87.846123
11283.39844,-87.390137
11326.46484,-87.265572
11369.53125,-87.570137
11412.59766,-88.26268
11455.66406,-89.038582
11498.73047,-89.494446
11541.79688,-89.479454
11584.86328,-89.602264
11627.92969,-90.095695
11670.99609,-90.917168
11714.0625,-91.909203
11757.12891,-92.72039
11800.19531,-93.001213
11843.26172,-92.508026
11886.32813,-91.680573
11929.39453,-91.45018
11972.46094,-91.614243
12015.52734,-91.903481
12058.59375,-91.999474
12101.66016,-91.890686
12144.72656,-92.070343
12187.79297,-92.489342
12230.85938,-92.834488
12273.92578,-92.772789
12316.99219,-92.580498
12360.05859,-92.574982
12403.125,-92.426132
12446.19141,-92.262238
12489.25781,-92.36412
12532.32422,-92.5168
12575.39063,-92.249001
12618.45703,-91.915138
12661.52344,-91.788933
12704.58984,-91.639168
12747.65625,-91.366928
12790.72266,-91.214554
12833.78906,-91.328987
12876.85547,-91.77037
12919.92188,-92.155396
12962.98828,-92.479454
13006.05469,-92.888512
13049.12109,-93.092514
13092.1875,-92.946884
13135.25391,-92.907082
13178.32031,-93.105072
13221.38672,-93.712265
13264.45313,-94.87532
13307.51953,-95.895393
13350.58594,-96.480087
13393.65234,-97.243507
13436.71875,-97.255745
13479.78516,-96.659515
13522.85156,-96.121452
13565.91797,-95.298553
13608.98438,-94.702759
13652.05078,-94.431419
13695.11719,-94.475067
13738.18359,-94.521172
13781.25,-94.372047
13824.31641,-94.433266
13867.38281,-94.657669
13910.44922,-94.945778
13953.51563,-95.221954
13996.58203,-95.535347
14039.64844,-96.505219
14082.71484,-97.485146
14125.78125,-98.033546
14168.84766,-98.320122
14211.91406,-98.709808
14254.98047,-98.910034
14298.04688,-98.746857
14341.11328,-98.835304
14384.17969,-99.163681
14427.24609,-98.650909
14470.3125,-98.540359
14513.37891,-98.760193
14556.44531,-99.095428
14599.51172,-99.27607
14642.57813,-99.001686
14685.64453,-98.99897
14728.71094,-99.029167
14771.77734,-98.993034
14814.84375,-99.231247
14857.91016,-99.433472
14900.97656,-99.379738
14944.04297,-99.284019
14987.10938,-98.844727
15030.17578,-98.749664
15073.24219,-98.974998
15116.30859,-98.503899
15159.375,-97.984299
15202.44141,-97.943802
15245.50781,-97.74408
15288.57422,-97.498512
15331.64063,-97.165733
15374.70703,-96.923042
15417.77344,-97.144165
15460.83984,-97.743774
15503.90625,-98.33535
15546.97266,-98.229553
