Frequency (Hz),Level (dB)
43.066406,-68.38131
86.132813,-70.240082
129.199219,-70.888939
172.265625,-56.060661
215.332031,-43.710545
258.398438,-44.531212
301.464844,-58.586166
344.53125,-68.66964
387.597656,-66.348351
430.664063,-44.834629
473.730469,-40.361248
516.796875,-47.787277
559.863281,-66.145111
602.929688,-64.037346
645.996094,-49.295242
689.0625,-39.3979
732.128906,-41.727642
775.195313,-59.508766
818.261719,-68.574928
861.328125,-67.35907
904.394531,-55.187923
947.460938,-53.988644
990.527344,-63.041878
1033.59375,-68.269562
1076.660156,-62.189316
1119.726563,-44.921543
1162.792969,-36.410862
1205.859375,-39.931633
1248.925781,-59.371376
1291.992188,-63.799088
1335.058594,-61.653027
1378.125,-48.129913
1421.191406,-46.825386
1464.257813,-57.819607
1507.324219,-71.41468
1550.390625,-71.837112
1593.457031,-61.815083
1636.523438,-55.302719
1679.589844,-60.183853
1722.65625,-76.728386
1765.722656,-72.288025
1808.789063,-57.718109
1851.855469,-44.089085
1894.921875,-43.829769
1937.988281,-56.753662
1981.054688,-74.38456
2024.121094,-75.950127
2067.1875,-63.454182
2110.253906,-58.680946
2153.320313,-64.548233
2196.386719,-76.421303
2239.453125,-72.840744
2282.519531,-62.307858
2325.585938,-50.645115
2368.652344,-51.486771
2411.71875,-66.093719
2454.785156,-76.911705
2497.851563,-73.464355
2540.917969,-57.188992
2583.984375,-53.167294
2627.050781,-60.962051
2670.117188,-76.988014
2713.183594,-73.741737
2756.25,-63.271996
2799.316406,-56.686974
2842.382813,-59.787712
2885.449219,-75.264091
2928.515625,-80.189476
2971.582031,-71.918633
3014.648438,-56.870174
3057.714844,-54.432362
3100.78125,-63.805782
3143.847656,-79.490891
3186.914063,-78.204231
3229.980469,-66.003242
3273.046875,-60.065788
3316.113281,-64.520859
3359.179688,-80.507645
3402.246094,-85.893593
3445.3125,-81.658745
3488.378906,-67.873672
3531.445313,-66.436234
3574.511719,-76.892586
3617.578125,-87.040749
3660.644531,-80.093315
3703.710938,-67.174606
3746.777344,-60.87442
3789.84375,-65.476967
3832.910156,-85.691757
3875.976563,-92.400253
3919.042969,-79.058731
3962.109375,-74.252571
4005.175781,-77.725739
4048.242188,-85.914474
4091.308594,-89.429008
4134.375,-81.63472
4177.441406,-71.091003
4220.507813,-67.017365
4263.574219,-73.151123
4306.640625,-88.408722
4349.707031,-87.388954
4392.773438,-76.001038
4435.839844,-67.392761
4478.90625,-69.265732
4521.972656,-82.641579
4565.039063,-90.414299
4608.105469,-83.885071
4651.171875,-71.897293
4694.238281,-68.654068
4737.304688,-76.380676
4780.371094,-88.272102
4823.4375,-84.371323
4866.503906,-75.483452
4909.570313,-67.639648
4952.636719,-70.342384
4995.703125,-85.742065
5038.769531,-92.403603
5081.835938,-86.038589
5124.902344,-75.30941
5167.96875,-73.403709
5211.035156,-82.096947
5254.101563,-94.272346
5297.167969,-90.671669
5340.234375,-80.70726
5383.300781,-73.563293
5426.367188,-76.473953
5469.433594,-90.943169
5512.5,-92.036972
5555.566406,-86.302315
5598.632813,-76.871506
5641.699219,-75.547745
5684.765625,-84.845634
5727.832031,-97.555405
5770.898438,-91.141357
5813.964844,-83.385025
5857.03125,-80.526199
5900.097656,-85.347145
5943.164063,-94.412674
5986.230469,-95.099678
6029.296875,-87.208954
6072.363281,-76.620453
6115.429688,-76.836029
6158.496094,-88.118927
6201.5625,-97.843704
6244.628906,-94.376381
6287.695313,-87.288597
6330.761719,-86.451286
6373.828125,-92.570786
6416.894531,-96.242088
6459.960938,-89.480392
6503.027344,-81.310768
6546.09375,-72.305504
6589.160156,-73.609612
6632.226563,-84.786453
6675.292969,-90.667061
6718.359375,-84.373787
6761.425781,-71.040916
6804.492188,-67.75528
6847.558594,-75.361229
6890.625,-87.6548
6933.691406,-84.688667
6976.757813,-77.825806
7019.824219,-70.755661
7062.890625,-73.214111
7105.957031,-87.020157
7149.023438,-91.361061
7192.089844,-84.187309
7235.15625,-73.257614
7278.222656,-71.559143
7321.289063,-80.810669
7364.355469,-91.698433
7407.421875,-89.708374
7450.488281,-81.656853
7493.554688,-78.443581
7536.621094,-82.598495
7579.6875,-93.444923
7622.753906,-92.280067
7665.820313,-83.562515
7708.886719,-72.637894
7751.953125,-71.595993
7795.019531,-80.930237
7838.085938,-85.518929
7881.152344,-77.857582
7924.21875,-68.971474
7967.285156,-63.949333
8010.351563,-69.002647
8053.417969,-82.763344
8096.484375,-81.984818
8139.550781,-73.205315
8182.617188,-64.391479
8225.683594,-65.037643
8268.75,-76.47538
8311.816406,-84.550415
8354.882813,-79.274033
8397.949219,-69.952408
8441.015625,-66.207306
8484.082031,-72.099007
8527.148438,-82.365852
8570.214844,-81.906631
8613.28125,-72.85556
8656.347656,-64.560463
8699.414063,-66.072548
8742.480469,-77.403969
8785.546875,-85.440422
8828.613281,-81.085426
8871.679688,-74.528847
8914.746094,-73.18557
8957.8125,-79.679359
9000.878906,-90.946671
9043.945313,-91.178017
9087.011719,-80.700188
9130.078125,-73.936256
9173.144531,-76.615753
9216.210938,-86.889229
9259.277344,-93.662369
9302.34375,-90.32299
9345.410156,-85.309357
9388.476563,-85.974899
9431.542969,-92.695793
9474.609375,-94.483139
9517.675781,-90.745369
9560.742188,-80.754784
9603.808594,-74.683365
9646.875,-78.345505
9689.941406,-90.023804
9733.007813,-94.421272
9776.074219,-85.463692
9819.140625,-75.674301
9862.207031,-75.396156
9905.273438,-84.52063
9948.339844,-91.593353
9991.40625,-90.031464
10034.47266,-83.834038
10077.53906,-79.376038
10120.60547,-83.659828
10163.67188,-95.39994
10206.73828,-96.198219
10249.80469,-85.289284
10292.87109,-77.921654
10335.9375,-78.651184
10379.00391,-87.192787
10422.07031,-97.27523
10465.13672,-106.48407
10508.20313,-100.384193
10551.26953,-96.3778
10594.33594,-100.457748
10637.40234,-107.193306
10680.46875,-100.084442
10723.53516,-87.465363
10766.60156,-80.434425
10809.66797,-81.885605
10852.73438,-91.593239
10895.80078,-101.657883
10938.86719,-92.907425
10981.93359,-82.307831
11025,-80.027611
11068.06641,-86.20282
11111.13281,-97.265579
11154.19922,-104.982452
11197.26563,-96.327286
11240.33203,-91.766953
11283.39844,-92.660156
11326.46484,-99.226318
11369.53125,-109.180466
11412.59766,-97.81559
11455.66406,-89.716133
11498.73047,-88.669762
11541.79688,-95.228539
11584.86328,-107.692558
11627.92969,-104.776024
11670.99609,-96.159508
11714.0625,-95.550064
11757.12891,-102.965233
11800.19531,-111.852989
11843.26172,-101.283501
11886.32813,-97.049911
11929.39453,-98.113907
11972.46094,-102.897545
12015.52734,-101.871979
12058.59375,-102.461815
12101.66016,-111.339554
12144.72656,-123.18428
12187.79297,-126.349007
12230.85938,-125.605469
12273.92578,-125.983078
12316.99219,-132.939178
12360.05859,-134.831909
12403.125,-128.357178
12446.19141,-126.418625
12489.25781,-129.30455
12532.32422,-136.026825
12575.39063,-136.521881
12618.45703,-129.361084
12661.52344,-125.279686
12704.58984,-126.172821
12747.65625,-128.398712
12790.72266,-130.539658
12833.78906,-128.796478
12876.85547,-127.773285
12919.92188,-129.492935
